Id,SalePrice
1461,121498.65565320698
1462,158044.1772969821
1463,187789.7993834029
1464,195652.77730206837
1465,190656.86332811898
1466,174172.2372987758
1467,175498.71158517085
1468,164020.88531386852
1469,182512.73417954997
1470,124868.47384249943
1471,196457.90467480753
1472,95055.722203113
1473,96144.95218819664
1474,149572.86445861953
1475,117279.90651477462
1476,383732.6160610615
1477,253544.99413852597
1478,283397.3962336601
1479,281134.6776705178
1480,509893.3608479808
1481,324777.87636911584
1482,207278.91129616852
1483,173590.53670435539
1484,167634.5232130521
1485,183071.2149143699
1486,195994.48317714414
1487,338280.1797240912
1488,229257.43232964
1489,202053.29424042653
1490,232618.97458040417
1491,192290.01059079607
1492,89059.56844278896
1493,179485.10328358118
1494,289396.0589757171
1495,284994.1245716526
1496,241576.42623576033
1497,181129.8084561441
1498,166050.58993841603
1499,162915.71946497064
1500,154526.74024270324
1501,176809.07774015906
1502,145103.05796904457
1503,294097.73839215795
1504,239712.40134689352
1505,223529.15323285369
1506,186922.9319021938
1507,255664.97701434253
1508,196428.72517951913
1509,160884.65899752852
1510,145364.07547723988
1511,150296.11230055708
1512,172141.95718500734
1513,142225.20064676105
1514,160883.49870293436
1515,191360.4141908727
1516,153499.14407654313
1517,162770.06393447603
1518,129937.34274468364
1519,221865.98084672992
1520,131402.47064643766
1521,135210.21969092006
1522,171716.11497518118
1523,115023.82150073003
1524,125387.44336827315
1525,123346.01009395818
1526,110883.65725395507
1527,101440.44618020605
1528,133422.11185886053
1529,151129.09490485978
1530,170593.49893146072
1531,102985.72935585765
1532,95705.55827896323
1533,146283.5301963387
1534,124444.92961395846
1535,152602.66788009097
1536,105268.33095343903
1537,58238.74866849497
1538,149504.73860108177
1539,191416.86719119217
1540,94842.01910652588
1541,142332.30350840066
1542,141659.74263005896
1543,208190.70963800885
1544,78840.90540981144
1545,109546.02931678924
1546,131957.52824337812
1547,135719.75277522646
1548,139907.22082944165
1549,114355.86188121894
1550,137434.45080849912
1551,110131.23035427446
1552,132923.7760515231
1553,153407.220188197
1554,110750.07746458193
1555,165843.46391214884
1556,82080.66376281953
1557,106577.55890574091
1558,94996.07100363445
1559,72207.94953066444
1560,131067.98945133394
1561,135010.47362906387
1562,130255.95723521718
1563,121953.88737115398
1564,162136.90452405554
1565,147377.1495387566
1566,227877.8897142868
1567,73409.7362527271
1568,230848.12154940798
1569,133216.5833320487
1570,135951.3100000656
1571,120105.28882594482
1572,146999.10310894603
1573,253537.9276097943
1574,115859.64202827236
1575,217630.77463236448
1576,236124.32322378014
1577,190216.39551974222
1578,143234.3644657482
1579,143758.4609162307
1580,192882.99994920232
1581,150197.6541681479
1582,125560.6560799017
1583,315034.1135705419
1584,224418.0883935911
1585,140942.67612153816
1586,69485.11017377689
1587,98670.87133458533
1588,149816.97186591593
1589,99406.083807501
1590,134890.60184713325
1591,95726.5492611173
1592,120919.8342968057
1593,125995.35302045928
1594,130894.65369394128
1595,110268.38654328734
1596,236808.96016939532
1597,188138.84127023362
1598,213470.04528906787
1599,169138.54627326218
1600,168639.07248062745
1601,64731.46172511797
1602,111016.29214785178
1603,82547.51035264236
1604,268647.9581628031
1605,240655.90235551016
1606,168322.26505854886
1607,165282.76202470285
1608,218584.1755288096
1609,190557.31121909514
1610,150305.54339582217
1611,137408.53151650852
1612,166778.7776866616
1613,164353.03481270067
1614,123266.3545186177
1615,88073.73346533436
1616,73736.65950076022
1617,92103.18272902186
1618,126675.72633772553
1619,139759.3055204304
1620,155038.3502295232
1621,136169.10741502995
1622,140547.32603252755
1623,262903.1441192182
1624,210365.4387446189
1625,119122.07572191316
1626,160062.59607094424
1627,192445.08322262185
1628,274314.23247482383
1629,177659.44386682447
1630,375944.6033369929
1631,225089.7692926319
1632,240074.5221497877
1633,169559.8248130918
1634,184710.83607877
1635,177605.22380666918
1636,152311.7821975144
1637,201385.47692901647
1638,184866.92137601005
1639,181480.87350872287
1640,255776.41403641534
1641,177365.2348520299
1642,230927.04155359667
1643,220922.11618312378
1644,233407.84919855357
1645,201172.95122487977
1646,158393.40729610558
1647,156913.71578284714
1648,130479.32925657401
1649,138313.225395091
1650,110868.76610682759
1651,120735.10455433241
1652,97203.65230154223
1653,97022.33682560216
1654,148863.23882786772
1655,143990.3085106157
1656,144424.72571161966
1657,150083.1467362041
1658,144250.20156168894
1659,122827.62065190796
1660,156080.4449989911
1661,478615.2674567179
1662,400704.9644581614
1663,387254.8917494583
1664,499395.33152557747
1665,307287.46164365957
